Iterations	q_{12}	q_{21}	q_{13}	q_{31}	q_{24}	q_{42}
82	0.785582	0.640964	1.240277	1.237764	0.454433	0.120913
83	0.769338	0.648712	1.248237	1.246983	0.450421	0.141869
86	0.755042	0.629781	1.246890	1.252577	0.446107	0.136323
88	0.760711	0.629771	1.258536	1.244309	0.429906	0.134732
91	0.748866	0.613892	1.253085	1.258031	0.435507	0.147963
94	0.738413	0.608754	1.261488	1.263685	0.434464	0.156616
95	0.756245	0.592536	1.272307	1.282008	0.440432	0.157252
97	0.732431	0.603518	1.270130	1.296534	0.463137	0.151700
98	0.725256	0.617762	1.268469	1.294640	0.466224	0.138377
99	0.706331	0.610001	1.272428	1.305764	0.454482	0.138796
100	0.709128	0.627718	1.295286	1.286583	0.448508	0.151667
103	0.702154	0.651220	1.315791	1.267753	0.449820	0.139559
106	0.682868	0.637316	1.322218	1.291202	0.435080	0.159339
107	0.700248	0.658599	1.344920	1.281384	0.454866	0.160543
108	0.716064	0.657665	1.361636	1.264237	0.477947	0.136131
110	0.694261	0.651577	1.365050	1.281230	0.458143	0.146711
111	0.691560	0.676370	1.357526	1.297078	0.440262	0.147191
112	0.677420	0.655422	1.363878	1.288245	0.440829	0.130758
113	0.662940	0.663947	1.379076	1.282930	0.429257	0.124055
114	0.665811	0.651834	1.386556	1.288311	0.411181	0.120009
118	0.666770	0.634973	1.401862	1.298013	0.404216	0.105759
119	0.646664	0.621293	1.415282	1.285143	0.421117	0.098616
120	0.630465	0.610231	1.424892	1.291955	0.400447	0.076748
121	0.621190	0.622468	1.431406	1.289052	0.421299	0.080922
122	0.630238	0.625652	1.442104	1.290514	0.400336	0.064959
123	0.643548	0.637752	1.437120	1.304546	0.396052	0.055900
124	0.659765	0.628804	1.450753	1.306815	0.398842	0.040987
125	0.649570	0.635849	1.466889	1.314036	0.380334	0.023690
126	0.642377	0.613152	1.475128	1.308968	0.402591	0.047950
127	0.647977	0.613379	1.483906	1.322994	0.384540	0.070930
128	0.656862	0.595986	1.507397	1.317431	0.404776	0.091376
130	0.640765	0.612455	1.498866	1.335557	0.389083	0.091606
133	0.658344	0.621286	1.521681	1.350583	0.403265	0.071121
134	0.637447	0.629603	1.529836	1.349916	0.412239	0.074453
138	0.623409	0.612511	1.550152	1.354653	0.411532	0.090919
141	0.607080	0.596781	1.528071	1.375211	0.405020	0.071805
143	0.603693	0.584932	1.539206	1.374831	0.380098	0.090080
145	0.611680	0.594240	1.557765	1.383455	0.393057	0.111288
148	0.607709	0.578017	1.565833	1.396267	0.417739	0.101680
149	0.591520	0.568218	1.581490	1.401150	0.408302	0.092747
151	0.576648	0.559764	1.603334	1.408198	0.420589	0.101379
155	0.586206	0.579550	1.593175	1.432043	0.411521	0.120627
157	0.599644	0.589449	1.601020	1.442561	0.433463	0.115452
159	0.600100	0.590069	1.620132	1.447958	0.426634	0.127015
161	0.585134	0.613382	1.605725	1.468445	0.429035	0.113274
165	0.574261	0.609374	1.627869	1.455531	0.431530	0.103568
168	0.562410	0.628903	1.639784	1.457865	0.449345	0.124466
169	0.572842	0.643646	1.632504	1.479355	0.454741	0.121354
170	0.549709	0.636092	1.651672	1.480454	0.477265	0.104492
171	0.537020	0.620104	1.650347	1.488985	0.489471	0.093682
173	0.536049	0.599296	1.668870	1.499910	0.471120	0.089970
174	0.546335	0.619270	1.692950	1.517051	0.454323	0.087263
175	0.541780	0.606304	1.685974	1.533141	0.438804	0.071492
177	0.552134	0.612192	1.704799	1.525559	0.424615	0.065618
179	0.574649	0.609603	1.723259	1.535195	0.404830	0.046446
184	0.595038	0.606399	1.734744	1.546111	0.419384	0.035840
186	0.585114	0.596545	1.746387	1.564192	0.410620	0.016659
191	0.570861	0.598924	1.760173	1.551261	0.417911	0.015661
196	0.584328	0.613696	1.772439	1.555419	0.439254	0.020162
199	0.564556	0.591873	1.796026	1.543967	0.450658	0.018224
203	0.561198	0.598625	1.804015	1.530251	0.458507	0.031030
204	0.546393	0.610728	1.823743	1.542436	0.452820	0.054371
205	0.561846	0.614973	1.827201	1.554901	0.448589	0.076880
208	0.584278	0.620897	1.851678	1.571859	0.459471	0.099529
212	0.591343	0.612637	1.875260	1.583747	0.464830	0.094682
215	0.574314	0.590439	1.895107	1.591501	0.462462	0.086143
218	0.564649	0.613478	1.882671	1.616015	0.453147	0.080883
219	0.547627	0.611896	1.888448	1.637209	0.470734	0.057560
221	0.551448	0.610172	1.912189	1.617603	0.456623	0.054703
226	0.528757	0.606734	1.928373	1.642108	0.470555	0.049412
227	0.521842	0.582067	1.926471	1.662734	0.480141	0.031671
229	0.500671	0.598449	1.940067	1.640823	0.479444	0.053707
232	0.482602	0.619163	1.935778	1.632043	0.455188	0.049050
234	0.481305	0.604681	1.949056	1.647269	0.464057	0.072917
236	0.488247	0.614885	1.940384	1.669363	0.475782	0.064515
237	0.479251	0.603388	1.953724	1.676356	0.458184	0.069255
238	0.456422	0.597531	1.964389	1.698774	0.433408	0.076418
239	0.477331	0.579434	1.970735	1.714702	0.455121	0.088503
241	0.472140	0.568883	1.962648	1.739339	0.443962	0.104014
245	0.459771	0.568019	1.974998	1.744215	0.434591	0.093446
246	0.482772	0.561012	1.991505	1.768396	0.415276	0.088405
247	0.500426	0.570404	1.994273	1.793029	0.401099	0.101885
249	0.483497	0.575337	1.993811	1.786416	0.416952	0.078551
250	0.460544	0.562943	2.003521	1.778517	0.396341	0.084861
253	0.482279	0.578893	2.024520	1.790378	0.394238	0.097887
254	0.463764	0.563708	2.031428	1.807892	0.383542	0.099535
255	0.440899	0.571747	2.006471	1.816897	0.374360	0.079151
256	0.430737	0.574814	1.992833	1.835842	0.385701	0.074835
258	0.410513	0.564707	2.003613	1.839429	0.401769	0.095145
259	0.416680	0.560511	2.027477	1.858156	0.420793	0.117479
260	0.417231	0.564652	2.038525	1.841957	0.423880	0.094359
261	0.392847	0.553538	2.051456	1.858585	0.444166	0.101119
262	0.385176	0.555263	2.064879	1.859577	0.428538	0.109534
263	0.387298	0.564942	2.075021	1.872205	0.425717	0.087887
264	0.372012	0.562862	2.083338	1.878945	0.407676	0.090441
269	0.373894	0.559219	2.097821	1.873130	0.424344	0.070181
271	0.364808	0.577938	2.095576	1.873887	0.430417	0.065203
276	0.352756	0.579703	2.088414	1.891859	0.426527	0.084356
278	0.354158	0.569352	2.092788	1.895280	0.422543	0.068233
280	0.333439	0.545861	2.117135	1.896309	0.407768	0.056301
284	0.323702	0.541553	2.137830	1.881613	0.424564	0.033439
287	0.309919	0.528857	2.160384	1.900672	0.416109	0.038100
288	0.321139	0.538010	2.185078	1.913514	0.439310	0.038246
289	0.300519	0.530151	2.181313	1.925568	0.455739	0.056846
291	0.291130	0.554152	2.191693	1.946404	0.446384	0.054844
293	0.283172	0.576223	2.191371	1.965266	0.459156	0.077606
294	0.280230	0.555583	2.180930	1.987923	0.464350	0.073076
296	0.300560	0.574401	2.182749	2.000422	0.463011	0.050950
297	0.302053	0.569896	2.183526	1.997838	0.447135	0.054301
298	0.290160	0.588138	2.203234	2.008648	0.460093	0.067305
299	0.288225	0.594383	2.201130	2.022988	0.448962	0.061866
302	0.278701	0.593648	2.196157	2.043094	0.464468	0.067437
304	0.276183	0.603095	2.205627	2.028328	0.464931	0.046659
305	0.260638	0.615891	2.225314	2.031261	0.476797	0.057771
306	0.270583	0.607042	2.240459	2.023999	0.481466	0.039628
308	0.255282	0.594439	2.258125	2.029516	0.463332	0.018835
309	0.254527	0.600282	2.249153	2.038258	0.438615	0.024064
311	0.250570	0.624236	2.236340	2.054708	0.421561	0.038009
312	0.248443	0.625035	2.260127	2.074367	0.426981	0.019363
314	0.230388	0.639445	2.251060	2.096635	0.436519	0.035626
316	0.221054	0.630116	2.256731	2.088066	0.425870	0.057494
318	0.233738	0.619595	2.281370	2.068694	0.405883	0.071311
323	0.243990	0.623669	2.305092	2.056390	0.394334	0.052056
326	0.262412	0.618883	2.316452	2.044279	0.369637	0.062080
328	0.269807	0.597194	2.331408	2.046945	0.356572	0.064274
335	0.257744	0.618797	2.343277	2.047939	0.375069	0.047011
336	0.259101	0.638086	2.349528	2.050813	0.385584	0.050916
337	0.243138	0.641608	2.347339	2.061303	0.380749	0.035073
338	0.223881	0.649811	2.367749	2.045914	0.374278	0.028536
340	0.229214	0.660116	2.379448	2.068529	0.384171	0.030957
341	0.212377	0.672228	2.392774	2.070227	0.408064	0.030322
342	0.197235	0.653205	2.402160	2.082838	0.404657	0.017321
343	0.211048	0.628362	2.382690	2.079457	0.392285	0.039094
344	0.229396	0.622120	2.384634	2.084734	0.401211	0.042556
346	0.227269	0.646402	2.404862	2.088240	0.397883	0.021303
347	0.232744	0.624446	2.405814	2.078685	0.402064	0.032811
350	0.209252	0.641957	2.424465	2.081337	0.397476	0.025651
351	0.222414	0.643281	2.437415	2.069285	0.372661	0.050120
353	0.204471	0.650936	2.440744	2.072496	0.348874	0.074976
354	0.197715	0.635332	2.463320	2.087717	0.326312	0.077833
355	0.193856	0.620270	2.462252	2.098352	0.308887	0.066838
358	0.194353	0.620646	2.447529	2.113904	0.300569	0.068715
359	0.192651	0.626888	2.445037	2.136149	0.282149	0.077775
363	0.186077	0.649917	2.465857	2.141074	0.303423	0.067908
368	0.174418	0.655068	2.474936	2.139455	0.313317	0.052824
369	0.167854	0.661266	2.479648	2.152708	0.295021	0.032511
370	0.175956	0.677875	2.502146	2.150846	0.276838	0.018937
371	0.165910	0.684350	2.526199	2.168579	0.286052	0.027928
373	0.174357	0.689531	2.526259	2.178269	0.272989	0.043327
374	0.164710	0.683513	2.526571	2.177845	0.272141	0.039118
377	0.178268	0.694261	2.548119	2.186323	0.263742	0.046240
378	0.195786	0.677351	2.545976	2.201679	0.274642	0.062239
381	0.206445	0.693477	2.562149	2.220435	0.285585	0.041230
382	0.187872	0.716218	2.570163	2.242081	0.295582	0.029295
384	0.165910	0.705126	2.575226	2.241255	0.288681	0.038922
386	0.146101	0.727614	2.593730	2.261153	0.297980	0.033662
387	0.139304	0.732904	2.618646	2.277316	0.284727	0.048584
390	0.118540	0.731296	2.642210	2.279260	0.280732	0.047190
392	0.142113	0.726642	2.667184	2.299706	0.301347	0.023629
394	0.158083	0.726954	2.690848	2.314537	0.304296	0.043624
397	0.134386	0.723356	2.711885	2.338713	0.284410	0.054183
400	0.140274	0.719592	2.735666	2.320285	0.261517	0.058427
401	0.164202	0.722086	2.758352	2.339165	0.238566	0.053080
402	0.180127	0.722066	2.771157	2.330589	0.230556	0.053242
404	0.180317	0.725832	2.758103	2.351680	0.249723	0.043862
406	0.161105	0.734075	2.767881	2.349005	0.252442	0.041528
410	0.149091	0.710996	2.782263	2.329660	0.255590	0.031624
412	0.151580	0.731692	2.800396	2.329371	0.235566	0.037789
416	0.149558	0.710133	2.823291	2.322944	0.254776	0.057691
417	0.139923	0.734344	2.835927	2.323001	0.251008	0.056977
418	0.143571	0.746822	2.834774	2.340617	0.240747	0.042907
422	0.159003	0.763339	2.848557	2.364717	0.248799	0.056233
424	0.169128	0.766565	2.857560	2.356217	0.261016	0.050625
425	0.173077	0.750712	2.879826	2.344670	0.259373	0.034757
426	0.185990	0.742989	2.885972	2.331014	0.262286	0.042748
435	0.195668	0.732202	2.890215	2.313886	0.245062	0.046066
437	0.211265	0.735482	2.907185	2.314713	0.222668	0.028347
438	0.201994	0.714958	2.927795	2.339685	0.228686	0.028418
445	0.206720	0.737730	2.940849	2.355314	0.239490	0.021230
447	0.202126	0.713110	2.961326	2.371834	0.236696	0.024389
449	0.216772	0.708761	2.964697	2.390121	0.229172	0.019645
452	0.229642	0.717148	2.983760	2.410959	0.206808	0.036998
455	0.225255	0.699560	3.003378	2.424611	0.182333	0.052318
458	0.224905	0.678758	3.010911	2.412071	0.202749	0.052404
459	0.239146	0.672510	3.031609	2.426346	0.205117	0.074962
464	0.263632	0.648588	3.032991	2.445336	0.228225	0.054600
465	0.256836	0.630307	3.055054	2.434294	0.235568	0.075933
466	0.243987	0.650211	3.053962	2.447321	0.256737	0.073046
467	0.238090	0.627334	3.029760	2.469229	0.273132	0.048412
468	0.228702	0.645341	3.052199	2.478724	0.256660	0.061475
469	0.235705	0.644917	3.052165	2.485196	0.280090	0.052047
471	0.254239	0.654810	3.062370	2.491091	0.294414	0.032906
472	0.268384	0.659620	3.057175	2.505728	0.296627	0.039534
475	0.246857	0.644932	3.081296	2.488205	0.302205	0.032878
476	0.231371	0.626896	3.070283	2.495000	0.299623	0.053128
479	0.208151	0.624749	3.087127	2.490242	0.293992	0.054390
481	0.195914	0.644840	3.091543	2.496327	0.271824	0.071575
483	0.197715	0.628586	3.110945	2.499466	0.295181	0.078786
484	0.214733	0.644085	3.107103	2.509060	0.283049	0.062103
485	0.218322	0.652783	3.122942	2.517463	0.304101	0.039851
486	0.225530	0.654591	3.145305	2.528409	0.305684	0.059907
488	0.227950	0.633927	3.148260	2.551693	0.288617	0.064581
492	0.234326	0.620774	3.140138	2.572417	0.295152	0.044423
494	0.214376	0.603385	3.136660	2.568557	0.291528	0.048323
499	0.189568	0.605907	3.143796	2.591961	0.311061	0.031407
501	0.179378	0.600749	3.148752	2.586737	0.297176	0.050415
504	0.173032	0.602335	3.161361	2.601672	0.300656	0.065164
505	0.168804	0.579007	3.181773	2.614260	0.291030	0.054680
509	0.172001	0.599449	3.189147	2.595834	0.270788	0.063158
511	0.195414	0.604881	3.165920	2.604199	0.252954	0.041128
512	0.211705	0.580755	3.190489	2.582062	0.239452	0.044513
520	0.187976	0.597597	3.190683	2.587781	0.219760	0.050536
522	0.188495	0.597608	3.181561	2.591535	0.201043	0.044194
525	0.166701	0.609359	3.195536	2.599643	0.189570	0.047842
528	0.150644	0.633903	3.212779	2.604146	0.192032	0.031103
533	0.149464	0.642102	3.228437	2.582249	0.189089	0.032602
548	0.161612	0.624310	3.221148	2.560669	0.172668	0.037307
554	0.168749	0.640759	3.234538	2.559632	0.195247	0.047948
558	0.190088	0.647322	3.246118	2.556020	0.200234	0.054861
559	0.173652	0.623353	3.259124	2.536077	0.200087	0.053727
560	0.172580	0.623516	3.275687	2.559784	0.222294	0.038236
561	0.186444	0.616367	3.292679	2.551682	0.201493	0.052928
565	0.208679	0.632217	3.308187	2.552313	0.178083	0.043334
569	0.232483	0.616526	3.330858	2.560129	0.191654	0.042893
572	0.252947	0.624468	3.354559	2.579151	0.171256	0.019297
573	0.229304	0.627273	3.377953	2.602558	0.170590	0.039647
574	0.227067	0.608123	3.391114	2.605504	0.181038	0.053570
576	0.212852	0.617286	3.410348	2.593886	0.161069	0.048565
578	0.190609	0.592819	3.412871	2.597394	0.144432	0.059439
580	0.174341	0.573275	3.419026	2.620795	0.133260	0.070098
581	0.192122	0.550868	3.436134	2.597893	0.149516	0.064331
582	0.168229	0.541932	3.435057	2.621604	0.148754	0.060700
583	0.150837	0.535290	3.445709	2.608757	0.149344	0.039163
585	0.161705	0.529457	3.450590	2.608449	0.167413	0.061810
590	0.181464	0.520239	3.446359	2.602322	0.172312	0.064326
591	0.168802	0.499315	3.454293	2.622908	0.157023	0.051813
593	0.190109	0.513371	3.470509	2.602347	0.150912	0.034221
595	0.183699	0.499346	3.490276	2.601721	0.157282	0.049377
600	0.203306	0.492369	3.499832	2.609904	0.152122	0.046695
601	0.186491	0.468958	3.523460	2.613349	0.169540	0.059730
603	0.202858	0.451493	3.531229	2.609954	0.149201	0.046146
605	0.206912	0.465839	3.539152	2.634047	0.161062	0.057718
606	0.204529	0.470993	3.532373	2.640312	0.141609	0.043511
609	0.196773	0.453857	3.552963	2.621941	0.165115	0.058322
611	0.191461	0.434819	3.553074	2.638062	0.184739	0.043595
613	0.212501	0.452732	3.573237	2.650742	0.171785	0.027935
614	0.234782	0.463068	3.590128	2.660395	0.175776	0.032587
622	0.235653	0.458065	3.608706	2.680305	0.155130	0.028514
623	0.258793	0.462457	3.622374	2.659573	0.179233	0.047566
624	0.273370	0.466957	3.635349	2.656899	0.185768	0.033128
625	0.258900	0.465028	3.645636	2.665818	0.199642	0.050613
626	0.260554	0.440914	3.633903	2.690505	0.180234	0.042951
628	0.244328	0.460937	3.648550	2.673239	0.202144	0.043653
632	0.222016	0.460099	3.656153	2.697783	0.180127	0.030715
634	0.220257	0.471458	3.678828	2.701568	0.180960	0.031739
636	0.220446	0.448413	3.698906	2.698227	0.166814	0.030609
637	0.227211	0.468806	3.719838	2.698021	0.171023	0.043114
640	0.234063	0.449375	3.716820	2.719391	0.166353	0.041661
641	0.240771	0.451099	3.741408	2.720858	0.166250	0.023483
643	0.243575	0.468125	3.726924	2.709621	0.149708	0.035375
645	0.226912	0.469125	3.743693	2.729251	0.157455	0.054754
646	0.231696	0.485864	3.753341	2.753262	0.137512	0.043308
647	0.225564	0.492587	3.766054	2.760233	0.157352	0.045798
648	0.208584	0.505593	3.784960	2.751590	0.143039	0.064978
650	0.212037	0.511641	3.781476	2.747751	0.161652	0.053409
651	0.231457	0.514022	3.776077	2.757740	0.155005	0.050595
652	0.229495	0.491389	3.756829	2.779145	0.138112	0.046762
653	0.213415	0.469194	3.772180	2.772214	0.148778	0.035711
655	0.199958	0.468664	3.790086	2.764101	0.142959	0.033703
656	0.195569	0.472121	3.792497	2.778923	0.119274	0.035759
660	0.188310	0.468713	3.802347	2.784586	0.122649	0.048303
668	0.172775	0.455318	3.824268	2.794386	0.117295	0.034440
672	0.151911	0.445814	3.835588	2.818944	0.102439	0.032469
673	0.141384	0.450254	3.852212	2.839826	0.083141	0.045396
681	0.141792	0.432264	3.857190	2.860638	0.077774	0.039152
684	0.140960	0.429507	3.871020	2.879463	0.061420	0.053617
685	0.133808	0.450083	3.886438	2.876226	0.075495	0.042402
688	0.148086	0.434612	3.899988	2.890976	0.066450	0.024005
689	0.161015	0.451986	3.896261	2.873295	0.074930	0.022690
692	0.171906	0.449600	3.919681	2.896138	0.076446	0.041079
697	0.195815	0.452315	3.916870	2.894444	0.068894	0.050990
701	0.193078	0.434154	3.907897	2.914316	0.067627	0.042524
705	0.209340	0.419381	3.904987	2.928903	0.068310	0.028607
707	0.213745	0.440815	3.915170	2.923155	0.086488	0.029423
711	0.233405	0.420759	3.933358	2.934228	0.106533	0.044578
714	0.253105	0.437070	3.950954	2.933171	0.114938	0.030392
719	0.272449	0.451190	3.952754	2.914354	0.102875	0.030771
726	0.272561	0.431683	3.964796	2.904098	0.105415	0.029543
727	0.268910	0.428041	3.985481	2.886897	0.128217	0.031623
729	0.258612	0.428222	4.005785	2.881043	0.141611	0.046227
730	0.249205	0.446351	4.017640	2.904427	0.137579	0.061461
747	0.224515	0.434766	4.010673	2.894322	0.135846	0.044335
749	0.206437	0.416659	4.031049	2.885669	0.129603	0.056664
752	0.206962	0.403932	4.037405	2.878403	0.132846	0.048958
758	0.188834	0.379726	4.048020	2.902191	0.149466	0.034446
759	0.189188	0.356027	4.040851	2.924101	0.158980	0.049627
760	0.176601	0.375005	4.058826	2.922075	0.141119	0.031499
762	0.200542	0.394875	4.059463	2.906452	0.156100	0.041806
764	0.194428	0.408840	4.077758	2.897517	0.160123	0.033755
766	0.209880	0.413996	4.061013	2.910484	0.139262	0.057540
767	0.227200	0.391604	4.085411	2.934285	0.135542	0.077697
768	0.208339	0.375419	4.063193	2.937735	0.150604	0.064582
769	0.216743	0.385728	4.051800	2.954826	0.129048	0.053263
770	0.203044	0.383741	4.058240	2.955666	0.124450	0.056991
779	0.203354	0.369536	4.052000	2.968530	0.148777	0.044131
780	0.219659	0.347597	4.065670	2.976981	0.155749	0.030469
782	0.224435	0.331458	4.065088	2.952741	0.138374	0.053778
783	0.201814	0.341910	4.078333	2.948044	0.147698	0.048883
785	0.212678	0.359731	4.091160	2.928953	0.130079	0.031690
786	0.225373	0.347910	4.091052	2.905909	0.124436	0.037972
794	0.243170	0.359155	4.109448	2.919719	0.119940	0.034323
795	0.248828	0.361148	4.119870	2.914834	0.108395	0.038300
799	0.251069	0.348490	4.135812	2.914748	0.119088	0.049789
807	0.255408	0.357905	4.125860	2.938399	0.135224	0.038376
810	0.233388	0.353612	4.135709	2.927487	0.126230	0.055381
813	0.211187	0.367543	4.148984	2.940031	0.141547	0.055866
817	0.195539	0.360290	4.167143	2.961086	0.128611	0.055631
819	0.201640	0.361205	4.164232	2.981030	0.111101	0.053897
820	0.202179	0.365344	4.187383	2.972897	0.110953	0.046718
821	0.226718	0.370814	4.211975	2.976244	0.107629	0.028788
826	0.205227	0.385901	4.210611	2.973574	0.092634	0.035420
829	0.197645	0.367284	4.223937	2.986458	0.079896	0.053832
830	0.182865	0.357996	4.238832	2.973988	0.076927	0.044659
834	0.202173	0.357913	4.263745	2.991481	0.086442	0.068224
836	0.210643	0.335503	4.280223	2.972587	0.089206	0.063723
841	0.211882	0.359678	4.265762	2.984929	0.100694	0.052206
842	0.208571	0.367499	4.268832	2.981684	0.090777	0.045094
850	0.207505	0.356591	4.279755	2.992496	0.073767	0.040707
853	0.192534	0.372954	4.291549	2.999827	0.095895	0.026423
856	0.206838	0.377062	4.291240	3.002443	0.100012	0.023164
858	0.228114	0.366246	4.292430	3.002149	0.080699	0.032370
861	0.236780	0.358114	4.292045	3.021159	0.105176	0.028448
862	0.229757	0.378452	4.279925	3.030398	0.128105	0.049949
863	0.236763	0.399885	4.296689	3.020191	0.138030	0.061200
864	0.237471	0.402522	4.319944	3.020840	0.121304	0.064302
865	0.256006	0.402361	4.324445	3.029986	0.109013	0.055240
866	0.244475	0.415712	4.339908	3.010302	0.114025	0.056329
868	0.242401	0.426324	4.352668	2.994441	0.101710	0.045511
869	0.233215	0.431920	4.352706	2.999663	0.123991	0.046558
870	0.231759	0.407456	4.363113	3.001110	0.119208	0.057250
871	0.236886	0.408233	4.384941	2.990591	0.135618	0.043052
874	0.251859	0.406278	4.409059	3.000184	0.137658	0.029671
875	0.235612	0.426697	4.410856	3.000884	0.122284	0.031485
877	0.225774	0.418491	4.395940	3.013284	0.140906	0.047386
879	0.229523	0.403355	4.392343	3.031824	0.118446	0.038544
880	0.249195	0.407167	4.388522	3.053064	0.116768	0.045000
881	0.238486	0.403123	4.409022	3.064157	0.093132	0.055751
886	0.230981	0.420473	4.413913	3.059257	0.077891	0.038308
887	0.243468	0.438895	4.412582	3.054002	0.076773	0.050908
888	0.259915	0.462215	4.408639	3.051247	0.092236	0.042978
893	0.272097	0.457983	4.433221	3.046753	0.085653	0.057344
895	0.273957	0.454753	4.436819	3.029257	0.108804	0.057574
896	0.258089	0.434058	4.453849	3.047445	0.088980	0.044776
897	0.259759	0.453682	4.462237	3.055293	0.110423	0.047436
901	0.238283	0.445776	4.471426	3.072049	0.108650	0.040075
903	0.258278	0.433284	4.490737	3.087345	0.093324	0.042089
904	0.256664	0.441444	4.514471	3.091804	0.115985	0.061912
907	0.242206	0.463756	4.532202	3.074296	0.132810	0.040009
909	0.243266	0.476483	4.537369	3.077474	0.119459	0.035272
910	0.261773	0.468931	4.548651	3.072817	0.103189	0.048526
917	0.281802	0.473804	4.555266	3.097533	0.118494	0.053015
919	0.280557	0.486126	4.559893	3.114103	0.137485	0.053458
922	0.303909	0.490573	4.570103	3.091603	0.126000	0.043576
923	0.316319	0.475944	4.581095	3.077616	0.127759	0.042006
924	0.297300	0.452270	4.573747	3.065178	0.130012	0.048172
925	0.293063	0.472473	4.590372	3.046572	0.142104	0.055258
926	0.312645	0.474657	4.603888	3.026790	0.122384	0.035206
929	0.319937	0.491095	4.607381	3.043478	0.140153	0.037647
932	0.296297	0.500503	4.626082	3.043934	0.137391	0.060875
933	0.291525	0.485491	4.641493	3.024869	0.151460	0.064295
935	0.313510	0.491802	4.627298	3.032407	0.151916	0.055805
939	0.314766	0.477818	4.606612	3.049050	0.131008	0.058750
941	0.291429	0.478937	4.606274	3.051025	0.111157	0.049268
948	0.305836	0.497527	4.609216	3.027863	0.132064	0.046982
956	0.297039	0.479695	4.611951	3.021714	0.125749	0.042825
959	0.282897	0.496280	4.622394	3.037228	0.119292	0.035435
961	0.289011	0.519256	4.630931	3.046398	0.094470	0.038302
979	0.294658	0.532800	4.653424	3.044670	0.109649	0.033302
997	0.309287	0.534819	4.667433	3.042266	0.114385	0.031750
1000	0.300666	0.512570	4.682293	3.044156	0.109404	0.039773
1005	0.316581	0.536168	4.702811	3.025839	0.128349	0.055349
1008	0.308319	0.529301	4.706188	3.042619	0.133942	0.051125
1017	0.312627	0.537681	4.713468	3.057890	0.145993	0.061160
1019	0.327973	0.551367	4.706436	3.044158	0.134063	0.040458
1021	0.314048	0.537045	4.707190	3.067654	0.111756	0.049584
1022	0.305224	0.533719	4.711159	3.047586	0.118008	0.036976
1023	0.323565	0.512499	4.734432	3.037350	0.131058	0.055316
1026	0.306959	0.508645	4.758611	3.042223	0.110412	0.046558
1028	0.320545	0.521462	4.779386	3.066465	0.115724	0.062905
1030	0.338178	0.518264	4.766694	3.072285	0.102548	0.038275
